step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward
184,2025-06-12,0,4871.232330191488,0.06619347399424605,3380.89990234375,2588.0,5095.025839954427,0.0941099226474762
185,2025-06-13,0,4871.232330191488,0.06619347399424605,3431.199951171875,2588.0,5098.355374928441,0.09432753920555115
186,2025-06-16,0,4871.232330191488,0.06619347399424605,3396.39990234375,2588.0,5096.051838801339,0.09445144236087799
187,2025-06-17,0,4871.232330191488,0.06619347399424605,3386.60009765625,2588.0,5095.403155684608,0.09431690722703934
188,2025-06-18,0,4871.232330191488,0.06619347399424605,3389.800048828125,2588.0,5095.614971569286,0.09420543164014816
189,2025-06-20,0,4871.232330191488,0.06619347399424605,3368.10009765625,2588.0,5094.178576415714,0.09415075182914734
190,2025-06-23,0,4871.232330191488,0.06619347399424605,3377.699951171875,2588.0,5094.814024069749,0.09402458369731903
191,2025-06-24,0,4871.232330191488,0.06619347399424605,3317.39990234375,2588.0,5090.822554355793,0.09391584247350693
192,2025-06-25,0,4871.232330191488,0.06619347399424605,3327.10009765625,2588.0,5091.46464398195,0.09357059001922607
193,2025-06-26,0,4871.232330191488,0.06619347399424605,3333.5,2588.0,5091.8882757513065,0.09352084249258041
194,2025-06-27,0,4871.232330191488,0.06619347399424605,3273.699951171875,2588.0,5087.929902774347,0.09353411942720413
195,2025-06-30,0,4921.252378436587,0.050994918916630626,3294.39990234375,2588.0,5089.250034335562,0.47901031374931335
196,2025-07-01,0,4921.252378436587,0.050994918916630626,3336.699951171875,2588.0,5091.4071218957215,0.09325867146253586
197,2025-07-02,0,4921.252378436587,0.050994918916630626,3348.0,2588.0,5091.983366969466,0.09349788725376129
198,2025-07-03,0,4921.252378436587,0.050994918916630626,3331.60009765625,2588.0,5091.147055279206,0.09352882951498032
199,2025-07-04,0,4921.252378436587,0.050994918916630626,3332.5,2588.0,5091.192945726259,0.09337159991264343
200,2025-07-07,0,4921.252378436587,0.050994918916630626,3332.199951171875,2588.0,5091.177644760597,0.09328582882881165
201,2025-07-08,0,4921.252378436587,0.050994918916630626,3307.0,2588.0,5089.892575293884,0.09332749247550964
202,2025-07-09,0,4921.252378436587,0.050994918916630626,3311.60009765625,2588.0,5090.127156900873,0.09318245202302933
203,2025-07-10,0,4921.252378436587,0.050994918916630626,3317.39990234375,2588.0,5090.422917470644,0.09320123493671417
204,2025-07-11,0,4921.252378436587,0.050994918916630626,3356.0,2588.0,5092.391326320799,0.0932588204741478
205,2025-07-14,0,4921.252378436587,0.050994918916630626,3351.5,2588.0,5092.161849185674,0.09344508498907089
206,2025-07-15,0,4921.252378436587,0.050994918916630626,3329.800048828125,2588.0,5091.055261935169,-0.006494089495390654
207,2025-07-16,0,4921.252378436587,0.050994918916630626,3352.5,2588.0,5092.212844104591,-0.00664397282525897
208,2025-07-17,0,4921.252378436587,0.050994918916630626,3340.10009765625,2588.0,5091.580512089997,-0.00653745187446475
209,2025-07-18,0,4921.252378436587,0.050994918916630626,3353.0,2588.0,5092.238341564049,-0.006463685538619757
210,2025-07-21,0,4921.252378436587,0.050994918916630626,3401.89990234375,2588.0,5094.7319881191,-0.006429378408938646
211,2025-07-22,0,4921.252378436587,0.050994918916630626,3439.199951171875,2588.0,5096.634101084676,-0.006253116298466921
212,2025-07-23,0,4921.252378436587,0.050994918916630626,3394.10009765625,2588.0,5094.334237711495,-0.0060922265984117985
213,2025-07-24,0,4921.252378436587,0.050994918916630626,3371.0,2588.0,5093.156250104548,-0.006302983965724707
214,2025-07-25,0,4921.252378436587,0.050994918916630626,3334.0,2588.0,5091.269438104633,-0.006431933492422104
215,2025-07-28,0,4921.252378436587,0.050994918916630626,3309.10009765625,2588.0,5089.999669603581,-0.006648261100053787
216,2025-07-29,0,4921.252378436587,0.050994918916630626,3323.39990234375,2588.0,5090.728886984144,-0.006801125593483448
217,2025-07-30,0,4921.252378436587,0.050994918916630626,3295.800048828125,2588.0,5089.321434692004,-0.006770267616957426
218,2025-07-31,0,4921.252378436587,0.050994918916630626,3293.199951171875,2588.0,5089.188842922848,-0.006981618236750364
219,2025-08-01,0,4921.252378436587,0.050994918916630626,3347.699951171875,2588.0,5091.968066003805,-0.007101604249328375
220,2025-08-04,0,4921.252378436587,0.050994918916630626,3374.39990234375,2588.0,5093.329627848892,-0.00680756289511919
221,2025-08-05,0,4921.252378436587,0.050994918916630626,3381.89990234375,2588.0,5093.712089740768,-0.0066831777803599834
222,2025-08-06,0,4921.252378436587,0.050994918916630626,3380.0,2588.0,5093.615204374798,-0.00668224086984992
223,2025-08-07,0,4921.252378436587,0.050994918916630626,3400.300048828125,2588.0,5094.650403718792,-0.0066749705001711845
224,2025-08-08,0,4921.252378436587,0.050994918916630626,3439.10009765625,2588.0,5096.6290090627435,-0.006590021308511496
225,2025-08-11,0,4921.252378436587,0.050994918916630626,3353.10009765625,2588.0,5092.243446035914,-0.006441367790102959
226,2025-08-12,0,4921.252378436587,0.050994918916630626,3348.89990234375,2588.0,5092.029257416519,-0.0068597011268138885
227,2025-08-13,0,4921.252378436587,0.050994918916630626,3358.699951171875,2588.0,5092.529010111888,-0.006849185097962618
228,2025-08-14,0,4921.252378436587,0.050994918916630626,3335.199951171875,2588.0,5091.330629517347,-0.006752337794750929
229,2025-08-15,0,4921.252378436587,0.050994918916630626,3336.0,2588.0,5091.371427942467,-0.006858887616544962
230,2025-08-18,0,4921.252378436587,0.050994918916630626,3331.699951171875,2588.0,5091.152147301139,-0.006854773033410311
231,2025-08-19,0,4921.252378436587,0.050994918916630626,3313.39990234375,2588.0,5090.218937794978,-0.006922400556504726
232,2025-08-20,0,4921.252378436587,0.050994918916630626,3343.39990234375,2588.0,5091.748785362477,-0.007012384943664074
233,2025-08-21,0,4921.252378436587,0.050994918916630626,3336.89990234375,2588.0,5091.417318389519,-0.00685736583545804
234,2025-08-22,0,4921.252378436587,0.050994918916630626,3374.39990234375,2588.0,5093.329627848892,-0.0069798193871974945
235,2025-08-25,0,4921.252378436587,0.050994918916630626,3373.800048828125,2588.0,5093.299038367501,-0.006807770114392042
236,2025-08-26,0,5000.0,0.0,3388.60009765625,0.0,5000.0,-0.0068033053539693356
